x,y,z
116.593892,30.027884,0
116.588612,32.890178,0
116.583332,35.752472,0
116.578051,38.614765,0
116.572771,41.477059,0
116.567491,44.339352,0
116.609838,34.070841,0.62638
116.085957,34.338,2.533277
116.335957,34.338439,2.837414
116.610283,33.820842,0
116.605769,36.356994,2.134704
118.573026,41.340618,0
118.598911,27.309052,0
118.697331,43.343097,0
110.953325,43.347064,0
115.465314,43.354999,0
117.721308,43.358967,0
122.233296,43.366902,0
124.48929,43.37087,0
117.999497,44.341871,0
113.72752,44.351945,0
116.591531,44.356981,0
119.455542,44.362018,0
125.183565,44.372092,0
118.632762,34.342471,0
116.612953,32.320844,0
114.58596,34.335367,1.916351
119.603619,26.308555,0
123.643643,26.333152,0
124.644783,27.337171,0
124.620722,41.368834,0
123.616015,42.369332,0
119.574166,42.344637,0
125.61922,42.245591,0
125.623086,39.991068,0
125.630818,35.48202,0
125.634684,33.227496,0
125.642416,28.718448,0
125.646282,26.463925,0
124.520365,25.334687,0
122.264664,25.330735,0
117.753261,25.322831,0
115.49756,25.318879,0
110.986158,25.310975,0
118.730457,25.307023,0
117.600527,26.432302,0
117.596368,28.68681,0
117.58805,33.195826,0
117.583891,35.450334,0
117.575573,39.959351,0
117.571414,42.213859,0
126.618025,42.943454,0
126.627842,37.218827,0
126.63275,34.356513,0
126.637658,31.4942,0
126.647474,25.769573,0
125.218109,24.335908,0
119.49083,24.325874,0
116.627191,24.320857,0
113.763551,24.31584,0
118.036272,24.305806,0
116.601813,25.734444,0
116.591252,31.459031,0
116.585972,34.321325,0
116.580692,37.183618,0
116.570131,42.908206,0
116.348598,33.820383,0
116.871968,33.8213,0
116.086435,34.078963,1.158912
116.34672,34.856536,2.721998
117.13232,34.598877,0
116.085479,34.597038,2.668316
116.870157,34.857457,2.534017
117.133209,34.080798,0
115.594003,36.355215,1.602594
117.617535,36.358774,0
114.587821,33.326333,0
117.624588,32.322616,0
118.631032,35.351512,0
118.634492,33.33343,0
115.601317,32.319072,0
114.584098,35.344401,1.869486
126.622933,40.08114,0
117.579732,37.704842,0
117.592209,30.941318,0
113.241859,25.314927,0
120.008962,25.326783,0
125.63855,30.972972,0
125.626952,37.736544,0
122.319554,44.367055,0
110.863508,44.346908,0
119.977302,43.362934,0
113.20932,43.351032,0
116.575411,40.045912,0
116.596532,28.596738,0
110.899912,24.310823,0
122.354469,24.330891,0
126.642566,28.631886,0
115.639878,32.819671,0
118.143266,33.47622,0
118.164304,34.087106,0
117.379601,32.79369,0
116.765568,32.810644,0
